dim_farm_id,dim_source,dim_load_date,farm_name,farmtype,totalareainha,firstyearofcertification,on_sitehousing,createdon,updatedon,is_certification_scope
00124B8DC41C22823AFAF24B9AF017AC,RACP,09/09/22 12:23:00,Farm 485686,Large,,0,,07/19/22 09:32:00,01/01/00 00:00:00,TRUE
002020D2EF39EF3D98E96E363768EACA,RACP,09/09/22 12:23:00,Farm 234397,Large,1483,0,,06/09/22 10:38:00,06/14/22 06:05:00,TRUE
0029BDCFDB1616B13318DA9E98782740,RACP,09/09/22 12:23:00,Farm 937868,Smallholder,4,0,No,04/21/22 08:01:00,03/02/22 21:41:00,FALSE
003C497C8BB2DAF2B75D3437B3A7D269,RACP,09/09/22 12:23:00,Farm 870626,Smallholder,25,2021,No,04/21/22 08:01:00,04/15/22 02:56:00,FALSE
0043B82432ADFAE513458E6D754E6800,RACP,09/09/22 12:23:00,Farm 113094,Smallholder,100,2021,No,04/21/22 08:01:00,04/11/22 14:25:00,FALSE
0053ECD98F1AD5A2A685E6CC0BBE085E,RACP,09/09/22 12:23:00,Farm 051387,Large,,0,,06/25/22 13:51:00,01/01/00 00:00:00,TRUE
0057FF1AC7AC63EACDA938657B47FEE0,RACP,09/09/22 12:23:00,Farm 653162,Large,142,0,,09/03/22 08:36:00,09/03/22 09:00:00,TRUE
00774FA106EF4284FE0995FCDFE8310F,RACP,09/09/22 12:23:00,Farm 915927,Large,,0,,07/11/22 11:57:00,01/01/00 00:00:00,TRUE
009FC5A7F1958AE0C1EF0BCDA0C81C2E,RACP,09/09/22 12:23:00,Farm 368377,Large,,0,,08/12/22 12:17:00,01/01/00 00:00:00,TRUE
00D7AF7A9190C18C83E66D06F5427F2E,RACP,09/09/22 12:23:00,Farm 610762,Large,115,0,,09/06/22 12:48:00,09/03/22 09:00:00,TRUE
00E9E7855361173D53EB1EB8FB2C9D48,RACP,09/09/22 12:23:00,Farm 370915,Large,,0,,06/28/22 16:39:00,01/01/00 00:00:00,TRUE
00F1D8E192CC523BCE1CDBB4BDFCB5D3,RACP,09/09/22 12:23:00,Farm 441650,Large,,0,,07/11/22 11:57:00,07/11/22 12:15:00,TRUE
0105E77596B7F775C19FEBBD9F65815A,RACP,09/09/22 12:23:00,Farm 107172,Large,,0,,07/11/22 11:57:00,01/01/00 00:00:00,TRUE
010A3467106DE4F6060B711315525705,RACP,09/09/22 12:23:00,Farm 959477,Large,,0,,06/28/22 16:39:00,01/01/00 00:00:00,TRUE
011E8FB1CC9D3D9B7B43D690BD48ADE1,RACP,09/09/22 12:23:00,Farm 963797,Large,,0,,07/11/22 11:57:00,01/01/00 00:00:00,TRUE
012118DD370A24992F872D94367FBDDE,RACP,09/09/22 12:23:00,Farm 010362,Smallholder,50,2021,No,04/21/22 08:01:00,04/07/22 03:14:00,FALSE
012248BF5044D454D8CC318136541324,RACP,09/09/22 12:23:00,Farm 022737,Smallholder,3,0,Yes,04/21/22 08:01:00,01/10/22 20:26:00,FALSE
012779BC763C74611F78187A0B201CCB,RACP,09/09/22 12:23:00,Farm 831292,Large,245,1995,No,04/21/22 08:01:00,04/07/22 17:50:00,TRUE
012D9B67A4C756FB54FD86C7DF5CD41D,RACP,09/09/22 12:23:00,Farm 365391,Large,648,2008,Yes,04/21/22 08:02:00,05/26/22 08:07:00,TRUE
0136C2D13746A8711DB733BB6050A6BF,RACP,09/09/22 12:23:00,Farm 014863,Smallholder,4,0,No,04/21/22 08:01:00,01/12/22 21:30:00,FALSE
0138A1AE5E1C723DE0BBC7FE6A001C64,RACP,09/09/22 12:23:00,Farm 027269,Smallholder,19,2021,No,04/21/22 08:01:00,04/07/22 04:51:00,FALSE
013B8BAA31B88662B08211BA1EAE4AA0,RACP,09/09/22 12:23:00,Farm 096215,Large,242,1995,No,04/21/22 08:01:00,04/07/22 17:47:00,TRUE
0143CBF8ABF3106C4ACEF8B09890D91A,RACP,09/09/22 12:23:00,Farm 381878,Large,84,0,No,04/21/22 08:01:00,08/08/22 16:53:00,TRUE
0153252F280D42C06E40058EBD9F95CC,RACP,09/09/22 12:23:00,Farm 834112,Large,79,0,,09/06/22 12:46:00,09/03/22 09:00:00,TRUE
0159C9B84CCB01E4676A40667E32A60D,RACP,09/09/22 12:23:00,Farm 098241,Smallholder,5,2015,No,04/21/22 08:02:00,08/10/22 08:04:00,TRUE
015DF3021D2B945CAD1201DF43339346,RACP,09/09/22 12:23:00,Farm 266871,Smallholder,2,0,No,04/21/22 08:01:00,02/20/22 21:51:00,FALSE
0170E2F7B14D21697A6D4C6DA869FBE0,RACP,09/09/22 12:23:00,Farm 353756,Large,479,2015,Yes,04/21/22 08:02:00,09/03/22 05:16:00,TRUE
0172B772C7D57B19A4B32BC32F5B5E56,RACP,09/09/22 12:23:00,Farm 933253,Large,,0,,07/19/22 09:32:00,01/01/00 00:00:00,TRUE
017EBF731535CAA8FA9C19AE873EDC87,RACP,09/09/22 12:23:00,Farm 328032,Smallholder,100,2021,No,04/21/22 08:01:00,04/16/22 02:31:00,FALSE
01837F38CEF4D8A32700C82241C9AA6B,RACP,09/09/22 12:23:00,Farm 898537,Smallholder,1,0,,08/18/22 08:35:00,09/02/22 09:27:00,TRUE
01967CC74A65057EF3CF70D3C08CDFE1,RACP,09/09/22 12:23:00,Farm 801916,Large,,0,,07/19/22 09:32:00,01/01/00 00:00:00,TRUE
020E048F5F37FD1945DF7980C5D3447D,RACP,09/09/22 12:23:00,Farm 887692,Large,,0,,07/19/22 09:32:00,01/01/00 00:00:00,TRUE
0212A6374C91FB9B584C3D5418BF3356,RACP,09/09/22 12:23:00,Farm 583085,Large,,0,,08/12/22 12:17:00,01/01/00 00:00:00,TRUE
021D694C601009EE3E963F9C348353CC,RACP,09/09/22 12:23:00,Farm 208210,Large,,0,,06/25/22 13:51:00,01/01/00 00:00:00,TRUE
021ED182AF9FFFD7CF630778C36A71C2,RACP,09/09/22 12:23:00,Farm 842081,Large,806,0,,06/10/22 17:00:00,08/15/22 18:35:00,TRUE
021EE74022CAB68873811F25175FA129,RACP,09/09/22 12:23:00,Farm 057603,Smallholder,50,2021,No,04/21/22 08:01:00,04/11/22 05:39:00,FALSE
02456E2E36A19CC2AD038C40E0116DD5,RACP,09/09/22 12:23:00,Farm 576014,Large,,0,,06/28/22 16:39:00,01/01/00 00:00:00,TRUE
024804D1F9B4DEFF74C531BE12E04F89,RACP,09/09/22 12:23:00,Farm 148071,Large,,0,,06/28/22 16:39:00,06/28/22 17:41:00,TRUE
024A336BC7AA6D231B7DBF862FF3B7CF,RACP,09/09/22 12:23:00,Farm 796167,Large,,0,,06/28/22 16:39:00,06/28/22 17:41:00,TRUE
0262F7E031CE48EEEBD652FFA0C8D50E,RACP,09/09/22 12:23:00,Farm 694067,Large,,0,,07/19/22 09:32:00,01/01/00 00:00:00,TRUE
02652A703FCE97E74F8C887F38507BD9,RACP,09/09/22 12:23:00,Farm 682612,Smallholder,21,0,No,04/21/22 08:01:00,07/18/22 19:35:00,TRUE
0266759F657624E859664F7D52937A1F,RACP,09/09/22 12:23:00,Farm 680314,Large,,0,,06/25/22 13:51:00,01/01/00 00:00:00,TRUE
026E982C25633F57499700AB83D1BACB,RACP,09/09/22 12:23:00,Farm 196056,Smallholder,11,0,No,04/21/22 08:01:00,03/02/22 20:56:00,FALSE
0271E7E569EF69FAB3449ADCAF5A504B,RACP,09/09/22 12:23:00,Farm 700791,Large,,0,,06/25/22 13:51:00,01/01/00 00:00:00,TRUE
02876C9E04A635104B4ABB9A8C1C8648,RACP,09/09/22 12:23:00,Farm 021064,Large,30,0,,07/25/22 18:45:00,05/23/22 23:08:00,TRUE
02895F1C2FAA8C01C151D090F8485284,RACP,09/09/22 12:23:00,Farm 368377,Large,,0,,07/19/22 09:32:00,01/01/00 00:00:00,TRUE
