dim_license_id,dim_source,dim_load_date,license_id,certificationoption,gmr_download_status,date_requirements_viewed,date_selfassessment_uploaded,date_gmr_uploaded,contract_sign_status,date_contract_signed,license_type,license_status,license_standard,start_date_license,end_date_license,original_end_date,legalagreementchecked,scheme_owner,license_year
00A8DC740B8ED94144F8FE50B9D5FEF2,RACP,09/08/22 07:47:00,RALI22-29706366,Group Of Mixed Farms,,6/16/2022,,,,,,,,,,,,RA,
01D05254BC8D0E9E7E266F925E9C502C,RACP,09/08/22 07:47:00,RALI21-81684320,Group Of Small Farms,Validated,3/17/2022,3/17/2022,11/2/2021,BothConfirmed,11/3/2021,CB License,Granted,Farming,10/1/2021,10/1/2022,,TRUE,RA,
01D338F4776345628F914F72907C3A29,RACP,09/08/22 07:47:00,RALI21-82194647,,,1/6/2022,2/18/2022,,BothConfirmed,12/30/2021,CB License,Granted,Farming,10/1/2021,10/1/2022,,TRUE,RA,Transition year 1
02E06F22B1472A11DC10F300A67B3BC1,RACP,09/08/22 07:47:00,RALI21-12955486,Multi Site,,5/18/2022,12/14/2021,,,,Endorsement License,Granted,Supply Chain,10/11/2021,1/11/2023,,TRUE,RA,Full certification 1
030B505288EDCBB75F43C4878F682630,RACP,09/08/22 07:47:00,RALI22-13709832,Group Of Mixed Farms,,7/28/2022,,,,,,,,,,,,RA,
04517090C0008BA0D26C6787E8B349D7,RACP,09/08/22 07:47:00,RALI22-19447101,,,,,,,,,,,,,,,RA,
04ABD235DFC86D4FD1DBCAC088ED5BC4,RACP,09/08/22 07:47:00,RALI21-21037107,Single Farm,,1/6/2022,1/12/2022,,,,CB License,Granted,Farming,10/1/2021,9/30/2022,,TRUE,RA,
05BA8D9DC1BC7C9744A4E109E0248857,RACP,09/08/22 07:47:00,RALI21-25799876,Single Site,,8/8/2022,,,,,,,,,,,,RA,
074E285C07CA0A653B2AF7CF7A04A6FB,RACP,09/08/22 07:47:00,RALI22-32900161,Multi Site,,5/23/2022,,,,,,,,,,,,RA,
07618F21FD5E118B082EEC0DA00D5E6B,RACP,09/08/22 07:47:00,RALI22-33241475,Multi Farm,,6/17/2022,,,,,,,,,,,,RA,
07C433CDE4A8EC38E171D5D1ABB3DA20,RACP,09/08/22 07:47:00,RALI21-34976825,Single Site,,2/16/2022,,,,,,,,,,,,RA,
07CBE913EA6549D4C10EB14E493A7078,RACP,09/08/22 07:47:00,RALI22-35112428,,,6/11/2022,,,,,,,,,,,,RA,
09BE31566EAAC337E2E19E11950A7420,RACP,09/08/22 07:47:00,RALI22-43878302,Group Of Mixed Farms,,8/1/2022,,,,,,,,,,,,RA,
09E769F19AA47CB33EA8A0DD5B5C5257,RACP,09/08/22 07:47:00,RALI22-44603472,Group Of Small Farms,Downloaded by GIS member,8/10/2022,,8/25/2022,CHWaitingForCB,1/1/1900,,,,,,,,RA,
0AD4CD580AAA03092CDE76CF588785BF,RACP,09/08/22 07:47:00,RALI22-48779650,Group Of Mixed Farms,,7/25/2022,,,,,,,,,,,,RA,
0B1A9995124720DD430A16B498A79D60,RACP,09/08/22 07:47:00,RALI21-50007546,Single Site,,12/22/2021,,,,,,,,,,,,RA,
0BF1951B843F21A3BA7E5D845CD5ED58,RACP,09/08/22 07:47:00,RALI22-53789559,Single Site,,5/3/2022,7/20/2022,,CHWaitingForCB,1/1/1900,CB License,Granted,Supply Chain,8/5/2022,8/5/2023,,TRUE,RA,Transition year 1
0C2B6FC3800AABC293FBFD95A34C97AD,RACP,09/08/22 07:47:00,RALI21-54807339,Multi Farm,,3/1/2022,5/17/2022,,BothConfirmed,2/23/2022,,,,,,,,RA,
0C475DAB45E8B071B9C38EEC1A784364,RACP,09/08/22 07:47:00,RALI22-55298677,,,,,,,,,,,,,,,RA,
118160A514A39EF0CBD37539480E1692,RACP,09/08/22 07:47:00,RALI22-78837227,Multi Site,,8/26/2022,,,,,,,,,,,,RA,
133E64B15A6D9E6541CD32BA14FE4574,RACP,09/08/22 07:47:00,RALI22-86666028,Multi Farm,,9/2/2022,9/2/2022,,CHWaitingForCB,1/1/1900,,,,,,,,RA,
13CF05001AF9ABB350AB9C8400C2697C,RACP,09/08/22 07:47:00,RALI21-89210319,Multi Site,,5/6/2022,6/16/2022,,BothConfirmed,3/29/2022,CB License,Granted,Supply Chain,10/1/2021,10/1/2022,,TRUE,RA,Transition year 1
169A16F70EEEBC6FDC3BEC186748AFB4,RACP,09/08/22 07:47:00,RALI22-10178996,Group Of Mixed Farms,,9/2/2022,,,,,,,,,,,,RA,
17914D1D12FF779197A5D76E883A1B03,RACP,09/08/22 07:47:00,RALI21-10613895,Multi Farm,,1/22/2022,1/26/2022,,BothConfirmed,3/1/2022,CB License,Granted,Farming,12/2/2021,12/2/2022,,TRUE,RA,Transition year 1
1833FC6458264C04CBB330FE8777501C,RACP,09/08/22 07:47:00,RALI22-10900093,Multi Site,,5/25/2022,7/22/2022,,BothConfirmed,5/25/2022,,,,,,,,RA,
191F5D70ACB92466A42F47C3039ADE50,RACP,09/08/22 07:47:00,RALI21-11314176,Group Of Small Farms,Validated,6/14/2022,4/20/2022,3/30/2022,,,CB License,Granted,Farming,10/1/2021,10/1/2022,,TRUE,RA,Transition year 1
198402156A3571EDE956E09E9B24187E,RACP,09/08/22 07:47:00,RALI21-11491230,Single Site,,12/15/2021,1/6/2022,,,,Endorsement License,Granted,Supply Chain,10/19/2021,1/19/2023,,TRUE,RA,
1BC09A398F67F54230396430260B96EA,RACP,09/08/22 07:47:00,RALI21-12498548,Multi Site,,4/15/2022,7/7/2022,,BothConfirmed,3/21/2022,CB License,Granted,Supply Chain,4/26/2022,4/26/2023,,TRUE,RA,Transition year 1
1C5C655C2B7A6E7AAF1EC2A201ECCB35,RACP,09/08/22 07:47:00,RALI22-12772623,Single Site,,5/23/2022,7/4/2022,,BothConfirmed,6/8/2022,CB License,Granted,Supply Chain,6/22/2022,6/22/2023,,TRUE,RA,Transition year 1
1D905EF711651728F0FD4512467BC836,RACP,09/08/22 07:47:00,RALI21-13314418,Multi Farm,,5/3/2022,5/3/2022,,BothConfirmed,5/2/2022,CB License,Granted,Farming,5/1/2022,5/1/2023,,TRUE,RA,Transition year 1
2073DB38B5168BF56EA927AE589DC7A2,RACP,09/08/22 07:47:00,RALI21-14615335,Group Of Small Farms,Downloaded by GIS member,2/28/2022,3/1/2022,2/24/2022,BothConfirmed,10/25/2021,CB License,Granted,Farming,11/1/2021,11/1/2022,,TRUE,RA,
2196BB5F7230D62EA958C09468959574,RACP,09/08/22 07:47:00,RALI21-15127049,Multi Site,,8/9/2022,,,,,Dummy,Granted,Supply Chain,7/1/2021,9/22/2022,,TRUE,RA,Full certification 1
21BBAB403B16F451922CADC40077957E,RACP,09/08/22 07:47:00,RALI21-15192029,Multi Farm,Pending For CH Action,5/26/2022,5/26/2022,5/25/2022,BothConfirmed,2/1/2022,CB License,Granted,Farming,7/7/2022,7/6/2023,,TRUE,RA,Transition year 1
2264FEBC8E8FA9038322C55F1CD02D97,RACP,09/08/22 07:47:00,RALI21-15489911,,Validated,8/29/2022,5/17/2022,5/24/2022,CHWaitingForCB,1/1/1900,,,,,,,,RA,
2337104D9DC22C8B8E8211380612F471,RACP,09/08/22 07:47:00,RALI22-15859467,Single Site,,5/6/2022,,,,,,,,,,,,RA,
