dim_member_id,dim_source,dim_load_date,member_id,member_name,country,region,tandc_version,tandc_type,tandc_signdate,date_registered,date_validated
00B99200A3ACCC7FA8A65DC843F90D14,RACP,09/08/22 15:43:00,RAM-000130,Member-8807715,Hungary,Europe,1.0.,System TnC,01/07/22 00:00:00,01/07/22 00:00:00,01/07/22 00:00:00
016BF188ECB11B7951A042599AAF0C91,RACP,09/08/22 15:43:00,RAM-000004,Member-7386407,C“te d'Ivoire,Africa,6,,04/23/21 00:00:00,04/23/21 00:00:00,04/26/21 00:00:00
0344D34FD264C1E11F484900D9552548,RACP,09/08/22 15:43:00,RAM-000108,Member-2932001,India,Asia and Pacific,1.1.,SystemLegalTnC,11/11/21 00:00:00,11/11/21 00:00:00,11/26/21 00:00:00
03615E64DC8D620325C5882E39E20FD5,RACP,09/08/22 15:43:00,RAM-000028,Member-9713865,Colombia,Latin America,1.1.,SystemLegalTnC,06/23/21 00:00:00,06/23/21 00:00:00,07/07/21 00:00:00
0512301B49E84DF7CAEC604407804B20,RACP,09/08/22 15:43:00,RAM-000056,Member-3865420,India,Asia and Pacific,1.1.,SystemLegalTnC,09/02/21 00:00:00,09/02/21 00:00:00,09/03/21 00:00:00
06926C1F5DEEB2AC18757627ADC33590,RACP,09/08/22 15:43:00,RAM-000169,Member-1419271,Italy,Europe,1.0.,System TnC,04/08/22 00:00:00,04/08/22 00:00:00,04/12/22 00:00:00
06E541A48F9A8EB84EC8F1D59EABA1AE,RACP,09/08/22 15:43:00,RAM-000159,Member-1321212,Colombia,Latin America,1.1.,SystemLegalTnC,03/25/22 00:00:00,03/25/22 00:00:00,03/28/22 00:00:00
0858D18D0A175A7553FB3A8F7FDBCFD1,RACP,09/08/22 15:43:00,RAM-000137,Member-9749394,Kenya,Africa,1.1.,SystemLegalTnC,01/27/22 00:00:00,01/27/22 00:00:00,01/31/22 00:00:00
098CA206019E42E7699715EAE52894E0,RACP,09/08/22 15:43:00,RAM-000178,Member-6913334,Italy,Europe,1.0.,System TnC,04/14/22 00:00:00,04/14/22 00:00:00,06/02/22 00:00:00
0B0A6F3927DB0CD548207AF9388B3B96,RACP,09/08/22 15:43:00,RAM-000012,Member-1092793,Sri Lanka,Asia and Pacific,6,,05/20/21 00:00:00,05/20/21 00:00:00,05/22/21 00:00:00
