dim_site_id,dim_source,dim_load_date,site_name,on_sitehousing,createdon,updatedon,verificationlevel,visiting_country,visiting_region,is_certification_scope
006753FD62E266F7865A658513218DC3,RACP,09/09/22 12:26:00,Site 765675,,01/01/00 00:00:00,07/02/22 07:19:00,Not Applicable,Ethiopia,Africa,TRUE
00B9A8C11935D0FAE3F5CC7660FA2498,RACP,09/09/22 12:26:00,Site 209859,,01/01/00 00:00:00,06/17/22 16:29:00,,Ghana,Africa,TRUE
00C1B46E57B186F7FE2939DFF5EC5512,RACP,09/09/22 12:26:00,Site 711593,No,04/21/22 08:11:00,01/21/22 20:40:00,Not Applicable,Peru,Latin America,TRUE
00C42D41A9F2AAEEB0A52443DDF35C76,RACP,09/09/22 12:26:00,Site 282733,No,04/21/22 08:05:00,01/01/00 00:00:00,,India,Asia and Pacific,FALSE
00D5811A205332489FBBFB1E3AD505D2,RACP,09/09/22 12:26:00,Site 732773,No,04/21/22 08:08:00,03/18/22 11:39:00,Not Applicable,United Republic of Tanzania,Africa,TRUE
00E6469CB65E9A9D0CBB21AB3BE4EBA9,RACP,09/09/22 12:26:00,Site 237744,Yes,01/01/00 00:00:00,08/24/22 05:03:00,Not Applicable,Indonesia,Asia and Pacific,TRUE
00EF684F844B24645906D772590E2495,RACP,09/09/22 12:26:00,Site 261860,No,01/01/00 00:00:00,08/01/22 17:54:00,Not Applicable,Guatemala,Latin America,TRUE
011692F14D06E00977F3B0B0B956943E,RACP,09/09/22 12:26:00,Site 121721,No,01/01/00 00:00:00,05/23/22 19:47:00,To Be Determined,Brazil,Latin America,TRUE
0162062F6AEDD55057C990F66C1BBC2F,RACP,09/09/22 12:26:00,Site 955825,No,01/01/00 00:00:00,08/08/22 07:03:00,Needs Manual Review,Ghana,Africa,TRUE
01BD791449B077A5C3819DEE183CB500,RACP,09/09/22 12:26:00,Site 739753,,06/21/22 19:26:00,06/21/22 20:21:00,Not Applicable,Ethiopia,Africa,TRUE
01EA59159EAC7B6A2DAD1F7B3D0A2D51,RACP,09/09/22 12:26:00,Site 133401,,06/21/22 09:12:00,07/07/22 20:07:00,B-Low,Italy,Europe,TRUE
022BBEFFD85BBB5162201F1C1B6B1B6C,RACP,09/09/22 12:26:00,Site 945659,,06/23/22 15:04:00,07/07/22 20:06:00,D-High,Italy,Europe,TRUE
0242DC9FCBB66202E2F021CECC0A1F4A,RACP,09/09/22 12:26:00,Site 764243,No,01/01/00 00:00:00,08/01/22 07:10:00,Not Applicable,Turkey,Asia and Pacific,TRUE
0251ACC3C02BA877039C289D9FAFFF05,RACP,09/09/22 12:26:00,Site 101689,,05/24/22 12:16:00,06/06/22 15:21:00,B-Low,Germany,Europe,TRUE
029285D1BBD2BF5981C08A4434DA702D,RACP,09/09/22 12:26:00,Site 356208,No,04/21/22 08:07:00,03/01/22 16:46:00,B-Low,Germany,Europe,TRUE
02B3438F2D043DDC5BB7B11AB7702BE0,RACP,09/09/22 12:26:00,Site 704885,Yes,04/21/22 08:10:00,01/01/00 00:00:00,Not Applicable,India,Asia and Pacific,TRUE
02BE920D4597FD47F82973DB2036B92F,RACP,09/09/22 12:26:00,Site 445819,,06/29/22 20:09:00,06/29/22 20:14:00,Not Applicable,Colombia,Latin America,TRUE
02BF87CBFD73C011ACA59E73BDCE7AA0,RACP,09/09/22 12:26:00,Site 791923,No,04/21/22 08:05:00,01/01/00 00:00:00,,India,Asia and Pacific,FALSE
02D90AB3D87C46BA657CE84570C7A73A,RACP,09/09/22 12:26:00,Site 740210,No,05/11/22 14:11:00,06/06/22 18:09:00,C-Medium,Netherlands (the),Europe,TRUE
02F05C717EACFB608DA8EDD74A4C3617,RACP,09/09/22 12:26:00,Site 754273,Yes,04/21/22 08:11:00,01/01/00 00:00:00,Not Applicable,Indonesia,Asia and Pacific,TRUE
0320518350EA5A1C08DC6DC177575F3F,RACP,09/09/22 12:26:00,Site 379128,,06/21/22 19:03:00,06/21/22 20:21:00,Not Applicable,Ethiopia,Africa,TRUE
0377A91440B298329611505970ED7DDD,RACP,09/09/22 12:26:00,Site 186679,,06/14/22 19:20:00,06/14/22 19:21:00,Not Applicable,Brazil,Latin America,TRUE
038E8DB31C840CF617493574B34FC460,RACP,09/09/22 12:26:00,Site 420044,No,01/01/00 00:00:00,08/08/22 07:03:00,Needs Manual Review,Ghana,Africa,TRUE
03980CEB0F13E54F5EABB4E3F280BC55,RACP,09/09/22 12:26:00,Site 559123,No,04/21/22 08:05:00,01/01/00 00:00:00,,Colombia,Latin America,FALSE
039AE6ADE930E08495C44E57E447AE8A,RACP,09/09/22 12:26:00,Site 261860,No,01/01/00 00:00:00,08/01/22 17:54:00,Not Applicable,Guatemala,Latin America,TRUE
0443E8B80F1F768C2B67214289F490DA,RACP,09/09/22 12:26:00,Site 291696,No,01/01/00 00:00:00,05/09/22 18:09:00,,Mexico,Latin America,TRUE
0462ADAC0D9E98EC2C75EDFEF4D10972,RACP,09/09/22 12:26:00,Site 419389,No,04/21/22 08:09:00,08/31/22 13:55:00,D-High,Poland,Europe,TRUE
04BE4B271D0FE5DC20FD99A9F7AA7DD7,RACP,09/09/22 12:26:00,Site 337426,Yes,01/01/00 00:00:00,05/05/22 08:48:00,,China,Asia and Pacific,TRUE
04D4B94EE79DECC4735790A95F9198E7,RACP,09/09/22 12:26:00,Site 145363,No,04/21/22 08:08:00,12/07/21 14:43:00,Not Applicable,United Republic of Tanzania,Africa,TRUE
04EAE8681AFB3927EB5D24BB598E51D5,RACP,09/09/22 12:26:00,Site 033169,,05/24/22 11:21:00,06/06/22 15:20:00,B-Low,Poland,Europe,TRUE
051945582EB8D1A43665B4E8A4D316F5,RACP,09/09/22 12:26:00,Site 463448,No,04/21/22 08:09:00,11/25/21 22:36:00,Not Applicable,India,Asia and Pacific,TRUE
0554F4820264D700A5593AF142681833,RACP,09/09/22 12:26:00,Site 181385,No,04/21/22 08:08:00,12/17/21 14:31:00,Not Applicable,Democratic Republic of Congo,Africa,TRUE
05A946857E4C81BDD71B22A9F6ECFC2F,RACP,09/09/22 12:26:00,Site 043691,No,04/21/22 08:09:00,03/01/22 15:40:00,D-High,Germany,Europe,TRUE
05BB1A42AC907FD38D49B4FD0E72C6A1,RACP,09/09/22 12:26:00,Site 047509,No,04/21/22 08:06:00,03/11/22 18:36:00,B-Low,United States of America (the),North America,TRUE
05D391777F1E48AC4C87144CBE09232C,RACP,09/09/22 12:26:00,Site 751788,No,04/21/22 08:08:00,01/13/22 15:05:00,B-Low,Brazil,Latin America,TRUE
05E29753572D650E03DF613CA23D44A2,RACP,09/09/22 12:26:00,Site 765148,No,04/21/22 08:08:00,04/06/22 06:06:00,Not Applicable,India,Asia and Pacific,TRUE
05FEFF61DECC1A330269C0A165E9FD48,RACP,09/09/22 12:26:00,Site 736729,No,01/01/00 00:00:00,06/21/22 06:55:00,,Kenya,Africa,TRUE
0610E6F7300A090D8EF5D9DAFF4597E4,RACP,09/09/22 12:26:00,Site 764243,No,04/21/22 08:11:00,01/01/00 00:00:00,Not Applicable,Turkey,Asia and Pacific,TRUE
0628A2D08E69F66B0F7C39B47E6F6F2A,RACP,09/09/22 12:26:00,Site 950090,,09/02/22 19:41:00,09/02/22 19:49:00,Not Applicable,Peru,Latin America,TRUE
067F8FF20664728BB058F703EA2C729E,RACP,09/09/22 12:26:00,Site 782233,No,01/01/00 00:00:00,05/05/22 08:48:00,,China,Asia and Pacific,TRUE
06C2FC3414BD8249D4DC268F29AC68A1,RACP,09/09/22 12:26:00,Site 590369,No,04/21/22 08:06:00,03/15/22 13:21:00,Not Applicable,India,Asia and Pacific,TRUE
06EA335073AB975B1B5C59E9B967F223,RACP,09/09/22 12:26:00,Site 906663,No,01/01/00 00:00:00,06/10/22 08:29:00,Not Applicable,Taiwan,Asia and Pacific,TRUE
07397DD0C63C83D6162CFE3A9DCDB1AD,RACP,09/09/22 12:26:00,Site 920625,,01/01/00 00:00:00,06/16/22 17:24:00,Not Applicable,Ethiopia,Africa,TRUE
0746968F69ADE08C732B4FDD5B2BF9FF,RACP,09/09/22 12:26:00,Site 028159,,06/14/22 22:27:00,06/14/22 22:39:00,Not Applicable,Ghana,Africa,TRUE
07555896BC3230641F2AA981DBD10516,RACP,09/09/22 12:26:00,Site 416572,No,04/21/22 08:06:00,03/11/22 18:54:00,B-Low,United States of America (the),North America,TRUE
